trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,94,93,down,0.005,db,0.046743368,0.0006266,243.4465607,243.4465607,243.746571,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,95,94,down,0.005,db,0.046743368,0.0006638,246.1131036,246.1131036,246.4129754,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,96,95,down,0.005,db,0.046743368,0.0006312,248.6129947,248.6129947,248.9130507,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,97,96,down,0.005,db,0.046716468,0.0006386,251.0462071,251.0462071,251.3461659,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,98,97,down,0.005,db,0.046716468,0.0006223,253.6627823,253.6627823,253.9628729,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,99,98,down,0.005,db,0.046716468,0.0006298,256.3458171,256.3458171,256.6457164,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,100,99,down,0.005,db,0.046689584,0.0006252,258.8957182,258.8957182,259.1956691,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,128,127,down,0.005,db,0.046448319,0.0006478,327.4585215,327.4585215,327.7582279,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,129,128,down,0.005,db,0.046448319,0.000632,329.8419741,329.8419741,330.1417909,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,130,129,down,0.005,db,0.046421589,0.0006631,332.3583338,332.3583338,332.6582698,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,131,130,down,0.005,db,0.046421589,0.0006304,334.7750114,334.7750114,335.0747971,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,132,131,down,0.005,db,0.046421589,0.000627,337.2913392,337.2913392,337.5913254,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,133,132,down,0.005,db,0.046394875,0.0006254,339.6912771,339.6912771,339.9912077,0,0,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,134,133,up,0.005,db,0.046421589,0.0006549,342.0579654,342.0579654,342.3577491,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,135,134,up,0.005,db,0.046421589,0.0006503,344.5077222,344.5077222,344.80759,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,136,135,up,0.005,db,0.046421589,0.000628,346.9742164,346.9742164,347.2740094,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
